ADV,LAT,LON,TIME,WIND,PR,STAT
1,30.60,-75.40,05/26/18Z,25,1010,LOW
2,31.70,-75.60,05/27/00Z,25,1010,LOW
3,32.70,-75.50,05/27/06Z,25,1010,LOW
4,33.60,-75.20,05/27/12Z,25,1009,LOW
5,34.50,-74.60,05/27/18Z,25,1008,LOW
6,35.30,-73.80,05/28/00Z,25,1007,LOW
7,36.10,-72.90,05/28/06Z,25,1007,TROPICAL,DEPRESSION
8,36.90,-71.80,05/28/12Z,25,1007,TROPICAL,DEPRESSION
9,37.50,-70.30,05/28/18Z,30,1006,TROPICAL,DEPRESSION
10,38.00,-68.60,05/29/00Z,30,1006,TROPICAL,DEPRESSION
11,38.60,-66.80,05/29/06Z,30,1006,TROPICAL,DEPRESSION
12,39.30,-65.00,05/29/12Z,30,1006,TROPICAL,DEPRESSION
13,40.00,-63.10,05/29/18Z,25,1007,TROPICAL,DEPRESSION
14,40.60,-61.00,05/30/00Z,25,1007,LOW
15,41.00,-58.60,05/30/06Z,25,1007,LOW
